id,fork_id,in_dt,emp_x,emp_y
71,TEAM10054239,2019-06-01 09:01:04.461,173031.224393093,252374.152746357
72,TEAM10054239,2019-06-01 09:01:04.429,173031.248257898,252374.183739219
73,TEAM10054239,2019-06-01 09:01:04.397,173031.238421933,252374.259207103
74,TEAM10054239,2019-06-01 09:01:04.370,173031.194395476,252374.21274203
75,TEAM10054239,2019-06-01 09:01:04.340,173031.179027638,252374.272694648
76,TEAM10054239,2019-06-01 09:01:04.309,173030.657084165,252374.3274817
77,TEAM10054239,2019-06-01 09:01:04.278,173031.494661554,252374.643413486
78,TEAM10054239,2019-06-01 09:01:04.249,173031.628997539,252374.617502044
79,TEAM10054239,2019-06-01 09:01:04.221,173031.637164761,252374.596399482
80,TEAM10054239,2019-06-01 09:01:04.190,173031.623537494,252374.626393282
81,TEAM10054239,2019-06-01 09:01:04.158,173031.624474706,252374.634156297
82,TEAM10054239,2019-06-01 09:01:04.126,173031.6363614,252374.634121316
83,TEAM10054239,2019-06-01 09:01:04.098,173031.627119849,252374.600866627
84,TEAM10054239,2019-06-01 09:01:04.065,173031.617127171,252374.623083957
85,TEAM10054239,2019-06-01 09:01:04.038,173031.603441138,252374.633108799
86,TEAM10054239,2019-06-01 09:01:04.005,173031.613531757,252374.644173065
87,TEAM10054239,2019-06-01 09:01:03.974,173031.608101092,252374.663048781
88,TEAM10054239,2019-06-01 09:01:03.941,173031.60720632,252374.669707791
89,TEAM10054239,2019-06-01 09:01:03.908,173031.602657365,252374.677486951
90,TEAM10054239,2019-06-01 09:01:03.874,173031.600913528,252374.706336383
91,TEAM10054239,2019-06-01 09:01:03.841,173031.588066769,252374.690842643
92,TEAM10054239,2019-06-01 09:01:03.809,173031.574377469,252374.699758098
93,TEAM10054239,2019-06-01 09:01:03.769,173031.558918216,252374.728647892
94,TEAM10054239,2019-06-01 09:01:03.735,173031.556971961,252374.688715358
95,TEAM10054239,2019-06-01 09:01:03.704,173031.554235406,252374.690942203
96,TEAM10054239,2019-06-01 09:01:03.671,173031.573423931,252374.686448149
97,TEAM10054239,2019-06-01 09:01:03.638,173031.613564404,252374.655266931
98,TEAM10054239,2019-06-01 09:01:03.601,173031.6162879,252374.648602539
99,TEAM10054239,2019-06-01 09:01:03.568,173031.663899505,252375.291912192
100,TEAM10054239,2019-06-01 09:01:03.535,173032.363242026,252375.241040735
101,TEAM10054239,2019-06-01 09:01:03.500,173032.317631934,252379.006465493
102,TEAM10054239,2019-06-01 09:01:03.465,173031.133766084,252380.020609316
103,TEAM10054239,2019-06-01 09:01:03.427,173031.408427948,252378.586461182
104,TEAM10054239,2019-06-01 09:01:03.393,173031.44224297,252378.580814689
105,TEAM10054239,2019-06-01 09:01:03.359,173030.807895609,252378.346380129
106,TEAM10054239,2019-06-01 09:01:03.330,173031.238045176,252375.995413185
107,TEAM10054239,2019-06-01 09:01:03.300,173031.322959725,252376.264746557
108,TEAM10054239,2019-06-01 09:01:03.272,173031.308346273,252376.270336543
109,TEAM10054239,2019-06-01 09:01:03.244,173031.270948671,252376.612140614
110,TEAM10054239,2019-06-01 09:01:03.213,173031.271412272,252376.769673504
111,TEAM10054239,2019-06-01 09:01:03.181,173031.249601471,252376.815222933
112,TEAM10054239,2019-06-01 09:01:03.148,173031.254431192,252376.902851015
113,TEAM10054239,2019-06-01 09:01:03.113,173031.239873245,252376.927300573
114,TEAM10054239,2019-06-01 09:01:03.077,173030.982092052,252376.951356517
115,TEAM10054239,2019-06-01 09:01:03.048,173029.41980342,252380.804449605
116,TEAM10054239,2019-06-01 09:01:03.013,173029.352253967,252383.017893753
117,TEAM10054239,2019-06-01 09:01:02.980,173029.62985738,252382.272671917
118,TEAM10054239,2019-06-01 09:01:02.944,173029.678370716,252382.290279477
119,TEAM10054239,2019-06-01 09:01:02.906,173029.936644769,252382.433740866
120,TEAM10054239,2019-06-01 09:01:02.868,173033.509255403,252376.278281948
121,TEAM10054239,2019-06-01 09:01:02.836,173033.35934381,252375.050621548
122,TEAM10054239,2019-06-01 09:01:02.802,173033.30381263,252375.133989669
123,TEAM10054239,2019-06-01 09:01:02.769,173033.282021399,252375.186195412
124,TEAM10054239,2019-06-01 09:01:02.737,173033.254779912,252375.250620551
125,TEAM10054239,2019-06-01 09:01:02.705,173033.26394964,252375.259468736
126,TEAM10054239,2019-06-01 09:01:02.669,173033.262176414,252375.27833369
127,TEAM10054239,2019-06-01 09:01:02.637,173033.246707363,252375.30389532
128,TEAM10054239,2019-06-01 09:01:02.590,173033.212075905,252375.342826095
129,TEAM10054239,2019-06-01 09:01:02.556,173032.386312228,252376.555607282
130,TEAM10054239,2019-06-01 09:01:02.524,173029.742538697,252383.277453213
131,TEAM10054239,2019-06-01 09:01:02.489,173031.280489767,252387.311129108
132,TEAM10054239,2019-06-01 09:01:02.455,173032.429588893,252390.951004531
133,TEAM10054239,2019-06-01 09:01:02.418,173032.440678735,252390.990910158
134,TEAM10054239,2019-06-01 09:01:02.387,173031.64911873,252394.193847545
135,TEAM10054239,2019-06-01 09:01:02.354,173030.824457636,252395.15923033
136,TEAM10054239,2019-06-01 09:01:02.323,173030.80058655,252394.815387765
137,TEAM10054239,2019-06-01 09:01:02.291,173030.833203109,252394.713227327
138,TEAM10054239,2019-06-01 09:01:02.257,173030.862136111,252394.60220256
139,TEAM10054239,2019-06-01 09:01:02.225,173030.932453611,252394.572041923
140,TEAM10054239,2019-06-01 09:01:02.187,173030.9799056,252394.539729786
141,TEAM10054239,2019-06-01 09:01:02.156,173030.986276729,252394.52972647
